Class,Layer,Type,URL
Transportation,National road network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrn_rrn/bc/
Transportation,National railway network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrwn_rfn/bc/
