Class,Layer,Type,URL
Transportation,National road network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrn_rrn/bc/
Transportation,National railway network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrwn_rfn/bc/
Forestry,Harvest areas (consolidated cutblocks),vector,https://catalogue.data.gov.bc.ca/dataset/harvested-areas-of-bc-consolidated-cutblocks-
Energy,Transmission lines,vector,https://catalogue.data.gov.bc.ca/dataset/bc-transmission-lines
Transportation,"Ministry of Forests recreation trails, etc.",vector,https://catalogue.data.gov.bc.ca/dataset/recreation-line
Transportation,Digital road atlas of BC,vector,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/bmgs/DRA_Public/
Dams,Dam locations,vector,https://catalogue.data.gov.bc.ca/dataset/bc-dams
Water,Man made waterbodies (FWA_BC.gdb),vector,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/bmgs/FWA_Public
Cumulative disturbances,Multiple datasets from BCOAGC,vector,https://www.bcogc.ca/files/gis/Zips/BCOGC_OPEN_DATA_DAILY_SHP.zip
